Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.548,-284.022705078125,-10.085317611694336,-9.1388912200927734,2.7768428325653076,-293.51205444335938,-15.410581588745117,2.066371962428093e-09,0.26611271500587463,0
30.552,-332.62152099609375,10.069572448730469,8.3676633834838867,37.81121826171875,-296.98388671875,0.33387249708175659,2.066371962428093e-09,0.38791126012802124,0
30.556,-397.61224365234375,8.7196531295776367,-5.2616767883300781,30.822057723999023,-278.540771484375,4.4697761535644531,2.066371962428093e-09,0.46750059723854065,0
30.56,-481.65472412109375,-12.571681022644043,-36.769886016845703,3.112274169921875,-284.26513671875,-11.472175598144531,2.066371962428093e-09,0.22492945194244385,0
30.564,-537.63623046875,-3.7134280204772949,-23.849807739257812,23.591655731201172,-269.826416015625,-9.2568178176879883,2.066371962428093e-09,-0.21094508469104767,0
30.568,-582.7294921875,15.802404403686523,-2.4753284454345703,46.999504089355469,-175.63493347167969,7.305628776550293,2.066371962428093e-09,-0.57890862226486206,0
30.572,-652.5145263671875,2.3694663047790527,-23.252208709716797,22.058090209960938,-64.836898803710938,1.3218234777450562,2.066371962428093e-09,-0.51693564653396606,0
30.576,-696.7957763671875,-10.238988876342773,-35.50555419921875,12.547042846679688,-56.470123291015625,-10.972302436828613,2.066371962428093e-09,0.049776982516050339,0
30.58,-671.8919677734375,9.375370979309082,-9.2172212600708008,46.931934356689453,-121.35459899902344,1.7200725078582764,2.066371962428093e-09,0.62305343151092529,0
30.584,-634.7806396484375,16.375360488891602,-6.6249456405639648,50.463909149169922,-135.49516296386719,11.985891342163086,2.066371962428093e-09,0.83986520767211914,0
30.588,-624.01141357421875,-3.4737293720245361,-33.231067657470703,22.184900283813477,-98.56219482421875,-1.7144200801849365,2.066371962428093e-09,0.85140705108642578,0
30.592,-614.18603515625,-1.605476975440979,-25.456899642944336,34.330829620361328,-93.278099060058594,-6.0626053810119629,2.066371962428093e-09,0.72826755046844482,0
30.596,-622.48291015625,16.67889404296875,-3.3533797264099121,58.930267333984375,-113.98295593261719,6.8519887924194336,2.066371962428093e-09,0.76291608810424805,0
30.6,-676.0052490234375,7.5326757431030273,-21.736413955688477,37.69476318359375,-99.954734802246094,4.2365560531616211,2.066371962428093e-09,1.0464134216308594,0
30.604,-728.32244873046875,-6.1184754371643066,-40.90814208984375,22.612405776977539,-64.5174560546875,-7.2680435180664062,2.066371962428093e-09,1.1908407211303711,0
30.608,-744.56561279296875,6.8344793319702148,-27.366954803466797,49.071941375732422,-63.430389404296875,-0.52612113952636719,2.066371962428093e-09,1.0405381917953491,0
